country,migrants_1990,migrants_1995,migrants_2000,migrants_2005,migrants_2010,migrants_2015,continent
Slovakia,41295,69323,116376,130491,146319,177624,Europe
Slovenia,178077,174419,214508,217218,253786,237616,Europe
Solomon Islands,4226,4178,3981,3271,2760,2585,Oceania
South Africa,1163883,1003807,1016963,1351031,2114801,3816695,Africa
Spain,821605,1020067,1657285,4107226,6280065,5891208,Europe
Sri Lanka,41561,40841,40132,39526,38959,39706,Asia
Sudan,1402896,1053396,805086,546419,618709,620523,Africa
Suriname,18083,22320,27506,33664,39713,43127,Americas
Sweden,788767,936022,1003798,1125790,1384929,1676264,Europe
Switzerland,1392282,1478829,1570756,1805437,2075182,2416394,Europe
Syria,714140,830610,834916,878308,1787561,871174,Asia
Tajikistan,428900,348347,299499,280466,279808,275101,Asia
Tanzania,574025,1106043,949600,771153,309847,384567,Africa
Thailand,528693,809720,1257821,2163447,3224131,3486526,Asia
Timor-Leste,8954,9743,10602,11286,11540,8520,Asia
Togo,84844,101583,137968,203799,255413,277384,Africa
Tonga,2911,3274,3684,4301,4604,3954,Oceania
Trinidad and Tobago,50666,45994,41753,44812,48226,50021,Americas
Tunisia,37984,37867,36719,35040,43172,56532,Africa
Turkey,1163686,1216173,1280963,1319236,1367034,4346197,Asia
Turkmenistan,306500,273565,219067,213053,197979,196376,Asia
Turks and Caicos Islands,5062,7039,9015,13115,17216,22719,Americas
Tuvalu,318,263,218,209,220,230,Oceania
Uganda,544273,606987,584280,593308,492930,851175,Africa
Ukraine,6892920,6172338,5527087,5050302,4818767,4915142,Europe
United Arab Emirates,1306574,1824118,2447010,3281115,7316697,7995126,Asia
United Kingdom,3650286,4155293,4730165,5926156,7119664,8411569,Europe
United States of America,23251026,28451053,34814053,39258293,44183643,48178877,Americas
Uruguay,98116,93428,88874,82317,76303,78799,Americas
Uzbekistan,1653000,1512577,1406498,1329932,1220149,1170873,Asia
Vanuatu,2308,2461,2626,2800,2991,3187,Oceania
Venezuela,1025009,1019996,1013738,1076474,1347347,1404448,Americas
Vietnam,28118,51262,56754,51768,61756,72793,Asia
Yemen,118863,136515,144940,171871,288394,379882,Asia
Zambia,279463,244338,343703,252895,149962,132107,Africa
Zimbabwe,634621,431226,410109,402226,398307,400482,Africa
